Variable,Breakdown,Breakdown_category,Year,RD_Value,Units,Footnotes
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,14_Scientific research,2018,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,14_Scientific research,2019,0,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,15_Other government research,2016,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,15_Other government research,2018,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,15_Other government research,2019,0,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,16_Higher Education,2016,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,16_Higher Education,2018,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Published_Industry,16_Higher Education,2019,0,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,01_Business Sector,2016,138,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,01_Business Sector,2018,165,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,01_Business Sector,2019,150,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,02_Government Sector,2016,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,02_Government Sector,2018,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,02_Government Sector,2019,0,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,03_Higher Education Sector,2016,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,03_Higher Education Sector,2018,0,Count of businesses,1 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Sector,03_Higher Education Sector,2019,0,Count of businesses,1 and 9 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,001-009 employees,2016,39,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,001-009 employees,2018,54,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,001-009 employees,2019,63,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,010-019 employees,2016,39,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,010-019 employees,2018,27,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,010-019 employees,2019,27,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,020-049 employees,2016,24,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,020-049 employees,2018,33,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,020-049 employees,2019,21,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,050-099 employees,2016,9,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,050-099 employees,2018,9,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,050-099 employees,2019,6,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,100 or more employees,2016,15,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,100 or more employees,2018,21,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,100 or more employees,2019,9,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,Zero employees,2016,15,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,Zero employees,2018,21,Count of businesses,19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Size,Zero employees,2019,24,Count of businesses,9 and 19 and 21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Total,99_Total all sectors,2016,138,Count of businesses,21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Total,99_Total all sectors,2018,165,Count of businesses,21
_74_Businesses who engaged with CRIs or Callaghan Innovation through economic development agencies,Total,99_Total all sectors,2019,..,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,3,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,3,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,B_Mining,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,B_Mining,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,B_Mining,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,C_Manufacturing,2016,15,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,C_Manufacturing,2018,15,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,C_Manufacturing,2019,9,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,E_Construction,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,E_Construction,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,E_Construction,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,F_Wholesale Trade,2016,3,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,F_Wholesale Trade,2018,6,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,F_Wholesale Trade,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,9,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,9,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,6,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,N_Administrative and Support Services,2016,3,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,N_Administrative and Support Services,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,N_Administrative and Support Services,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,O_Public Administration and Safety,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,O_Public Administration and Safety,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,O_Public Administration and Safety,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,P_Education and Training,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,P_Education and Training,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,P_Education and Training,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,R_Arts and Recreation Services,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,R_Arts and Recreation Services,2018,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,R_Arts and Recreation Services,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,S_Other Services,2016,0,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,S_Other Services,2018,3,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,ANZSIC_1_Digit,S_Other Services,2019,0,Count of businesses,9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,01_Primary Industry Group,2016,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,01_Primary Industry Group,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,01_Primary Industry Group,2019,3,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,02_Manufacturing Industry Group,2016,18,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,02_Manufacturing Industry Group,2018,15,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,02_Manufacturing Industry Group,2019,6,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,03_Services Industry Group,2016,18,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,03_Services Industry Group,2018,18,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,03_Services Industry Group,2019,9,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,04_Government Industry Group,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,04_Government Industry Group,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,04_Government Industry Group,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,05_Higher Education Industry Group,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,05_Higher Education Industry Group,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Industry,05_Higher Education Industry Group,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,01_Primary,2016,3,Count of businesses,1 and 6 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,01_Primary,2018,0,Count of businesses,1 and 6 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,01_Primary,2019,3,Count of businesses,1 and 6 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,02_Food_Manufacturing,2016,6,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,02_Food_Manufacturing,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,02_Food_Manufacturing,2019,3,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,03_Beverage and tobacco manufacturing,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,03_Beverage and tobacco manufacturing,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,03_Beverage and tobacco manufacturing,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,06_Non-metallic mineral product manufacturing,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,06_Non-metallic mineral product manufacturing,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,06_Non-metallic mineral product manufacturing,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,07_Metal product manufacturing,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,07_Metal product manufacturing,2018,6,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,07_Metal product manufacturing,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,08_Machinery and equipment manufacturing,2016,6,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,08_Machinery and equipment manufacturing,2018,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,08_Machinery and equipment manufacturing,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,09_Other manufacturing,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,09_Other manufacturing,2018,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,09_Other manufacturing,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,10_Wholesale trade,2016,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,10_Wholesale trade,2018,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,10_Wholesale trade,2019,3,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,11_Scientific research and technical services,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,11_Scientific research and technical services,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,11_Scientific research and technical services,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,12_Computer services,2016,3,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,12_Computer services,2018,6,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,12_Computer services,2019,3,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,13_Other services,2016,9,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,13_Other services,2018,6,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,13_Other services,2019,3,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,14_Scientific research,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,14_Scientific research,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,14_Scientific research,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,15_Other government research,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,15_Other government research,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,15_Other government research,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,16_Higher Education,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,16_Higher Education,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Published_Industry,16_Higher Education,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,01_Business Sector,2016,36,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,01_Business Sector,2018,33,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,01_Business Sector,2019,15,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,02_Government Sector,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,02_Government Sector,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,02_Government Sector,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,03_Higher Education Sector,2016,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,03_Higher Education Sector,2018,0,Count of businesses,1 and 21
_75_Businesses who engaged with Universities through economic development agencies,Sector,03_Higher Education Sector,2019,0,Count of businesses,1 and 9 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,001-009 employees,2016,9,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,001-009 employees,2018,12,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,001-009 employees,2019,6,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,010-019 employees,2016,9,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,010-019 employees,2018,6,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,010-019 employees,2019,0,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,020-049 employees,2016,9,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,020-049 employees,2018,0,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,020-049 employees,2019,0,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,050-099 employees,2016,6,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,050-099 employees,2018,3,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,050-099 employees,2019,0,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,100 or more employees,2016,3,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,100 or more employees,2018,9,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,100 or more employees,2019,0,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,Zero employees,2016,6,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,Zero employees,2018,3,Count of businesses,19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Size,Zero employees,2019,3,Count of businesses,9 and 19 and 21
_75_Businesses who engaged with Universities through economic development agencies,Total,99_Total all sectors,2016,36,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,Total,99_Total all sectors,2018,33,Count of businesses,21
_75_Businesses who engaged with Universities through economic development agencies,Total,99_Total all sectors,2019,..,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2016,3,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2018,3,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"A_Agriculture, Forestry and Fishing",2019,3,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,B_Mining,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,B_Mining,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,B_Mining,2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,C_Manufacturing,2016,24,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,C_Manufacturing,2018,39,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,C_Manufacturing,2019,36,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"D_Electricity, Gas, Water and Waste Services",2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,E_Construction,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,E_Construction,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,E_Construction,2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,F_Wholesale Trade,2016,6,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,F_Wholesale Trade,2018,9,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,F_Wholesale Trade,2019,3,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,3,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,6,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,6,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,3,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,24,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,33,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,45,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,N_Administrative and Support Services,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,N_Administrative and Support Services,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,N_Administrative and Support Services,2019,3,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,O_Public Administration and Safety,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,O_Public Administration and Safety,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,O_Public Administration and Safety,2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,P_Education and Training,2016,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,P_Education and Training,2018,0,Count of businesses,21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,P_Education and Training,2019,0,Count of businesses,9 and 21
_76_Businesses who engaged with CRIs or Callaghan Innovation through business incubators,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2016,3,Count of businesses,21
